sitetag,Site,yr,TagNo,DBH,surv,lags,resurveyarea,newplt
MSC1262,MSC,2008,1262,NA,NA,0,1,0
MSC1262,MSC,2009,1262,NA,NA,0,1,0
MSC1262,MSC,2010,1262,0.671327294210318,1,3,1,0
MSC1262,MSC,2011,1262,NA,1,1,1,0
MSC1262,MSC,2012,1262,NA,NA,0,1,0
MSC1262,MSC,2013,1262,NA,0,2,1,0
MSC1265,MSC,2002,1265,0.72150452934226,1,0,1,0
MSC1265,MSC,2003,1265,0.872036234738085,1,1,1,0
MSC1265,MSC,2004,1265,1.02256794013391,1,1,1,0
MSC1265,MSC,2005,1265,NA,NA,0,1,0
MSC1265,MSC,2006,1265,NA,NA,0,1,0
MSC1265,MSC,2007,1265,2.4,1,3,1,0
MSC1265,MSC,2008,1265,NA,NA,0,1,0
MSC1265,MSC,2009,1265,NA,NA,0,1,0
MSC1265,MSC,2010,1265,3.5,1,3,1,0
MSC1265,MSC,2011,1265,NA,1,1,1,0
MSC1265,MSC,2012,1265,NA,NA,0,1,0
MSC1265,MSC,2013,1265,NA,0,2,1,0
MSC1266,MSC,2002,1266,0.520795588814493,1,0,1,0
MSC1266,MSC,2003,1266,0.520795588814493,1,1,1,0
MSC1266,MSC,2004,1266,NA,1,1,1,0
MSC1266,MSC,2005,1266,NA,NA,0,1,0
MSC1266,MSC,2006,1266,NA,NA,0,1,0
MSC1266,MSC,2007,1266,NA,0,3,1,0
MSC1288,MSC,2002,1288,0.370263883418668,1,0,1,0
MSC1288,MSC,2003,1288,0.320086648286726,1,1,1,0
MSC1288,MSC,2004,1288,NA,1,1,1,0
MSC1288,MSC,2005,1288,NA,NA,0,1,0
MSC1288,MSC,2006,1288,NA,NA,0,1,0
MSC1288,MSC,2007,1288,NA,0,3,1,0
MSC1301,MSC,2002,1301,0.320086648286726,1,0,1,0
MSC1301,MSC,2003,1301,NA,1,1,1,0
MSC1301,MSC,2004,1301,NA,0,1,1,0
MSC1302,MSC,2002,1302,0.269909413154784,1,0,1,0
MSC1302,MSC,2003,1302,NA,1,1,1,0
MSC1302,MSC,2004,1302,NA,0,1,1,0
MSC1307,MSC,2002,1307,0.269909413154784,1,0,1,0
MSC1307,MSC,2003,1307,0.269909413154784,1,1,1,0
MSC1307,MSC,2004,1307,0.269909413154784,1,1,1,0
MSC1307,MSC,2005,1307,NA,NA,0,1,0
MSC1307,MSC,2006,1307,NA,NA,0,1,0
MSC1307,MSC,2007,1307,0.520795588814493,1,3,1,0
MSC1307,MSC,2008,1307,NA,NA,0,1,0
MSC1307,MSC,2009,1307,NA,NA,0,1,0
MSC1307,MSC,2010,1307,0.621150059078376,1,3,1,0
MSC1307,MSC,2011,1307,0.922213469870027,1,1,1,0
MSC1307,MSC,2012,1307,NA,NA,0,1,0
MSC1307,MSC,2013,1307,0.9,1,2,1,0
MSC1307,MSC,2014,1307,1,1,1,1,0
MSC1307,MSC,2015,1307,NA,1,1,1,0
MSC1307,MSC,2016,1307,1.2,1,1,1,0
MSC1307,MSC,2017,1307,1.3,1,1,1,0
MSC1308,MSC,2002,1308,0.219732178022843,1,0,1,1
MSC1308,MSC,2003,1308,NA,1,1,1,0
MSC1308,MSC,2004,1308,NA,0,1,1,0
MSC1313,MSC,2002,1313,0.320086648286726,1,0,1,0
MSC1313,MSC,2003,1313,NA,1,1,1,0
MSC1313,MSC,2004,1313,NA,0,1,1,0
MSC1320,MSC,2002,1320,0.42044111855061,1,0,1,0
MSC1320,MSC,2003,1320,NA,1,1,1,0
MSC1320,MSC,2004,1320,NA,0,1,1,0
MSC1322,MSC,2002,1322,0.269909413154784,1,0,1,0
MSC1322,MSC,2003,1322,NA,1,1,1,0
MSC1322,MSC,2004,1322,NA,0,1,1,0
MSC1331,MSC,2002,1331,0.219732178022843,1,0,1,1
MSC1331,MSC,2003,1331,NA,1,1,1,0
MSC1331,MSC,2004,1331,NA,0,1,1,0
MSC1334,MSC,2002,1334,0.570972823946435,1,0,1,0
MSC1334,MSC,2003,1334,0.72150452934226,1,1,1,0
MSC1334,MSC,2004,1334,0.821858999606143,1,1,1,0
MSC1334,MSC,2005,1334,NA,NA,0,1,0
MSC1334,MSC,2006,1334,NA,NA,0,1,0
MSC1334,MSC,2007,1334,NA,1,3,1,0
MSC1334,MSC,2008,1334,NA,NA,0,1,0
MSC1334,MSC,2009,1334,NA,NA,0,1,0
MSC1334,MSC,2010,1334,NA,0,3,1,0
MSC1336,MSC,2002,1336,0.370263883418668,1,0,1,0
MSC1336,MSC,2003,1336,NA,1,1,1,0
MSC1336,MSC,2004,1336,NA,0,1,1,0
MSC1341,MSC,2002,1341,0.520795588814493,1,0,1,0
MSC1341,MSC,2003,1341,NA,1,1,1,0
MSC1341,MSC,2004,1341,NA,0,1,1,0
MSC1346,MSC,2002,1346,0.320086648286726,1,0,1,0
MSC1346,MSC,2003,1346,NA,1,1,1,0
MSC1346,MSC,2004,1346,NA,0,1,1,0
